login,commits,prs,issues,total
ndelangen,1732,179,4,1915
valentinpalkovic,1173,195,71,1439
yannbf,1003,184,96,1283
kasperpeulen,936,106,25,1067
JReinhold,749,97,71,917
shilman,517,80,44,641
ghengeveld,402,63,21,486
kylegach,329,81,0,410
jonniebigodes,351,45,5,401
storybook-bot,389,0,0,389